D,Ebulk1,Ebulk2,Edarcy1,Edarcy2,Eshear1,Eshear2,Etotal1,Etotal2,a,k,α,ζ,ηs,κd,φ
50.0,0.0,0.0,1.4523892382766376e9,1.0448249591527629e9,1.2900387706861637e9,1.4830183685645216e9,2.772989522275712e9,3.168745589277803e9,0.2,1.5904271213680517e-8,0.2797222487616592,1.95870145313078e20,5.21156604100941e18,1.0376000778579224e11,0.0266072505979881
50.0,0.0,0.0,1.7240867714371028e9,1.2475037978876863e9,1.3431227768870125e9,1.5432610434947352e9,3.0994639126480546e9,3.5270595913243375e9,0.2,1.8963641842042902e-8,0.28385658978709793,1.7736822270352415e20,4.998915714163248e18,1.02572276798273e11,0.028183829312644536
50.0,0.0,0.0,2.0466708055971408e9,1.489739860939075e9,1.4019492134247174e9,1.6100398258084323e9,3.48278678327499e9,3.94679837381655e9,0.2,2.261599172676046e-8,0.28796720000079745,1.60206192615343e20,4.782767828768679e18,1.0139814165494087e11,0.029853826189179603
50.0,0.0,0.0,2.4296958948716164e9,1.7793224369941542e9,1.4673105080333273e9,1.6842548600876577e9,3.9333388421433253e9,4.439083883291292e9,0.2,2.6977447420021008e-8,0.2920542156158621,1.4431425979289901e20,4.563617597868203e18,1.0023744672545445e11,0.03162277660168379
50.0,0.0,0.0,2.88453702394863e9,2.1255941985271957e9,1.5401362549374475e9,1.7669619387111516e9,4.4634642592006645e9,5.017134772162956e9,0.2,3.218719746002447e-8,0.29611777206354317,1.2962583546174095e20,4.342017490164236e18,9.909003816095804e10,0.03349654391578276
50.0,0.0,0.0,3.424748530268384e9,2.5397665083030953e9,1.621521798935653e9,1.8594049129975142e9,5.087859331563571e9,5.69668146553224e9,0.2,3.841215899301716e-8,0.3001580039977265,1.1607727552011556e20,4.118577154029175e18,9.795576387368924e10,0.03548133892335755
50.0,0.0,0.0,4.066484591878695e9,3.0353002835341845e9,1.712763777063013e9,1.9630559884746623e9,5.82402986429839e9,6.496454289280237e9,0.2,4.585261236415323e-8,0.30417504529939476,1.0360763323453602e20,3.8939623939337175e18,9.683447351681987e10,0.03758374042884443
50.0,0.0,0.0,4.82897915351744e9,3.6283664901894236e9,1.8154045576769292e9,2.0796661013890512e9,6.692817044744762e9,7.438744397380236e9,0.2,5.474901099517345e-8,0.3081690290810636,9.215842695613293e19,3.668893059816724e18,9.572601846452765e10,0.039810717055349734
50.0,0.0,0.0,5.73507826841459e9,4.338403484693606e9,1.9312881280181837e9,2.211328265553682e9,7.718987276011089e9,8.550033042792686e9,0.2,6.539022009944827e-8,0.3121400876911924,8.16734235476042e19,3.4441397133066327e18,9.46302517922961e10,0.042169650342858224
50.0,0.0,0.0,6.811813822719222e9,5.188792301715352e9,2.0626308076847148e9,2.3605577141267724e9,8.931878228930147e9,9.86168193401191e9,0.2,7.812349484748951e-8,0.3160883527185707,7.209843837074098e19,3.2205189439917404e18,9.354702825743962e10,0.0446683592150963
