Ebulk,Edarcy,Eshear,Etotal,b,k,α,ζ,ηs,κd,φ
227070.15030328985,5.693680940874005e11,6.221242347874181e9,0.0,1.0,1.0e-6,0.49881276637272753,4.751475577236738e21,9.480440159755463e18,5.0237728630191635e10,0.001995262314968879
214396.61519313845,5.718110919065728e11,6.226772317136085e9,0.0,1.0,1.0e-6,0.510221180631554,4.6377648084311694e21,9.469100387826932e18,4.797665838038978e10,0.0020417379446695297
202428.57580390602,5.740948147151111e11,6.232432858304423e9,0.0,1.0,1.0e-6,0.5213699076773615,4.526648872090706e21,9.45750997419391e18,4.58173530553555e10,0.0020892961308540386
191129.94237620727,5.762319511232517e11,6.238227161774798e9,0.0,1.0,1.0e-6,0.5322648587128019,4.4180688456124444e21,9.445663700730298e18,4.375523247899103e10,0.0021379620895022326
180465.87066594374,5.7823379497834e11,6.244158630723374e9,0.0,1.0,1.0e-6,0.5429118103851249,4.3119671506233946e21,9.433556255864961e18,4.1785922617080795e10,0.002187761623949552
170402.83274008232,5.801104193496188e11,6.250230861545492e9,0.0,1.0,1.0e-6,0.5533164078490369,4.208287522435936e21,9.421182233650717e18,3.990524629937759e10,0.00223872113856834
160908.65928876903,5.818708276157188e11,6.256447629251553e9,0.0,1.0,1.0e-6,0.5634841677598339,4.1069749801993885e21,9.408536132865341e18,3.810921435926496e10,0.0022908676527677724
151952.55944605003,5.835230847025175e11,6.262812876823707e9,0.0,1.0,1.0e-6,0.5734204811984074,4.0079757977313676e21,9.395612356146725e18,3.639401717219966e10,0.0023442288153199225
143505.1229441803,5.850744311290698e11,6.2693307077474375e9,0.0,1.0,1.0e-6,0.5831306165296645,3.911237475013785e21,9.382405209165736e18,3.475601657498753e10,0.00239883291901949
135538.30849227647,5.865313821698005e11,6.27600538109782e9,0.0,1.0,1.0e-6,0.5926197221958873,3.8167087103380984e21,9.368908899839648e18,3.3191738148751205e10,0.002454708915685031
128025.42151962794,5.87899814132356e11,6.282841308690367e9,0.0,1.0,1.0e-6,0.6018928294465027,3.72433937308507e21,9.35511753758928e18,3.169786384922228e10,0.0025118864315095794
120941.08381916794,5.891850394802069e11,6.289843053908518e9,0.0,1.0,1.0e-6,0.6109548550057196,3.6340804771247733e21,9.34102513264418e18,3.0271224968724136e10,0.0025703957827688645
114261.19713785757,5.903918722940752e11,6.29701533190218e9,0.0,1.0,1.0e-6,0.6198106036794386,3.5458841548223393e21,9.326625595398205e18,2.8908795414918575e10,0.0026302679918953813
107962.90236466538,5.91524685362721e11,6.304363010914948e9,0.0,1.0,1.0e-6,0.6284647709028276,3.459703631635899e21,9.31191273582037e18,2.760768529205768e10,0.0026915348039269166
102024.53564533443,5.925874600178889e11,6.311891114549877e9,0.0,1.0,1.0e-6,0.6369219452298986,3.3754932012931686e21,9.296880262924478e18,2.6365134771128147e10,0.002754228703338166
