D,Ecomp,Ecomp_solid,Edarcy,Eshear,Eshear_solid,Etotal,Etotal_solid,a,k,α,ζ,ηs,κd,φ
300.0,NaN,1.3801797993403984e7,NaN,NaN,8.650898733853283e9,NaN,8.718967317217619e9,0.1,5.799447466315959e-10,0.23263851063818108,4.901602447813068e20,6.923697486350752e18,1.1776873107111778e11,0.01412537544622754
300.0,1.0655674150212659e7,1.3801797993403984e7,1.0626277657368844e9,8.468307752530159e9,8.650898733853283e9,9.593132983716764e9,8.718967317217619e9,0.2,2.3197789865263835e-9,0.23263851063818108,4.901602447813068e20,6.923697486350752e18,1.1776873107111778e11,0.01412537544622754
50.0,NaN,4.598089470995989e6,NaN,NaN,1.103632369310153e9,NaN,1.1138594187822464e9,0.01,8.220655700876342e-12,0.24142242497081623,4.176458276700219e20,6.61924029134005e18,1.1508798746743138e11,0.015848931924611134
50.0,3.0214642599245855e6,4.598089470995989e6,8.182760261549667e7,1.0504715001215746e9,1.103632369310153e9,1.1402109775259635e9,1.1138594187822464e9,0.1,8.220655700876344e-10,0.24142242497081623,4.176458276700219e20,6.61924029134005e18,1.1508798746743138e11,0.015848931924611134
50.0,3.0214946574512846e6,4.598089470995989e6,3.2309035539999163e8,1.0504702408850734e9,1.103632369310153e9,1.3815984893649065e9,1.1138594187822464e9,0.2,3.2882622803505374e-9,0.24142242497081623,4.176458276700219e20,6.61924029134005e18,1.1508798746743138e11,0.015848931924611134
300.0,NaN,1.6198156957849475e7,NaN,NaN,9.048803645497484e9,NaN,9.12176240185537e9,0.01,8.220655700876342e-12,0.24142242497081623,4.176458276700219e20,6.61924029134005e18,1.1508798746743138e11,0.015848931924611134
300.0,NaN,1.6198156957849475e7,NaN,NaN,9.048803645497484e9,NaN,9.12176240185537e9,0.1,8.220655700876344e-10,0.24142242497081623,4.176458276700219e20,6.61924029134005e18,1.1508798746743138e11,0.015848931924611134
300.0,1.2427436857043754e7,1.6198156957849475e7,1.497094043257432e9,8.84565334162067e9,9.048803645497484e9,1.0409070081069628e10,9.12176240185537e9,0.2,3.2882622803505374e-9,0.24142242497081623,4.176458276700219e20,6.61924029134005e18,1.1508798746743138e11,0.015848931924611134
50.0,NaN,5.426641411068065e6,NaN,NaN,1.1608554270921123e9,NaN,1.1722034572761297e9,0.01,1.1657754908434504e-11,0.25010579066754424,3.538787127332485e20,6.292952285046146e18,1.124682650380698e11,0.01778279410038923
50.0,3.512474850659306e6,5.426641411068065e6,1.152190445262054e8,1.1019234929820635e9,1.1608554270921123e9,1.2257901684577742e9,1.1722034572761297e9,0.1,1.1657754908434505e-9,0.25010579066754424,3.538787127332485e20,6.292952285046146e18,1.124682650380698e11,0.01778279410038923
